DATA;DATAFINAL;DESCRICAO;ENDERECO;ESTIMATIVAPUBLICO;NOMELOCAL
01/Jan/2026;01/Jan/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;10000;Praça Sete
02/Jan/2026;03/Jan/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;20000;Sesc Palladium
02/Jan/2026;05/Jan/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;30000;Mercado Central
02/Jan/2026;05/Jan/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;1000;Mercado Central
05/Jan/2026;06/Jan/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
06/Mai/2026;08/Mai/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
07/Jan/2026;07/Jan/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
08/Jan/2026;09/Jan/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
09/Jan/2026;11/Jan/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
10/Jun/2026;20/Jun/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;10000;Arena Hall
11/Jan/2026;12/Jan/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
12/Jan/2026;14/Jan/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
13/Jan/2026;13/Jan/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
14/Jan/2026;15/Jan/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
15/Jan/2026;17/Jan/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
16/Jan/2026;16/Jan/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
17/Jan/2026;18/Jan/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
18/Jan/2026;20/Jan/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
19/Jan/2026;19/Jan/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
20/Jan/2026;21/Jan/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;1000;Arena Hall
21/Jan/2026;23/Jan/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
22/Jan/2026;22/Jan/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
23/Jan/2026;24/Jan/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
24/Jan/2026;26/Jan/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
25/Jan/2026;25/Jan/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
26/Jan/2026;27/Jan/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
27/Jan/2026;29/Jan/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
28/Jan/2026;28/Jan/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
29/Jan/2026;30/Jan/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
30/Jan/2026;01/Fev/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;100000;Arena Hall
31/Jan/2026;31/Jan/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
01/Fev/2026;02/Fev/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;25000;Sesc Palladium
02/Fev/2026;04/Fev/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
03/Fev/2026;03/Fev/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
04/Fev/2026;05/Fev/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
05/Fev/2026;07/Fev/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
06/Fev/2026;06/Fev/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
07/Fev/2026;08/Fev/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
08/Fev/2026;10/Fev/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
09/Fev/2026;09/Fev/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;1000;Arena Hall
10/Fev/2026;11/Fev/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
11/Fev/2026;13/Fev/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
12/Fev/2026;12/Fev/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
13/Fev/2026;14/Fev/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
14/Fev/2026;16/Fev/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
15/Fev/2026;15/Fev/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
16/Fev/2026;17/Fev/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
17/Fev/2026;19/Fev/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
18/Fev/2026;18/Fev/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
19/Fev/2026;20/Fev/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;15000;Arena Hall
20/Fev/2026;22/Fev/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
21/Fev/2026;21/Fev/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
22/Fev/2026;23/Fev/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
23/Fev/2026;25/Fev/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;4000;Palácio das Artes
24/Fev/2026;24/Fev/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;5000;Praça da Liberdade
25/Fev/2026;26/Fev/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
26/Fev/2026;28/Fev/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
27/Fev/2026;27/Fev/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
28/Fev/2026;01/Mar/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
01/Mar/2026;03/Mar/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;1000;Arena Hall
02/Mar/2026;02/Mar/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
03/Mar/2026;04/Mar/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
04/Mar/2026;06/Mar/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;2000;Mercado Central
05/Mar/2026;05/Mar/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
06/Mar/2026;07/Mar/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
07/Mar/2026;09/Mar/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
08/Mar/2026;08/Mar/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
09/Mar/2026;10/Mar/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
10/Mar/2026;12/Mar/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
11/Mar/2026;11/Mar/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;1000;Arena Hall
12/Mar/2026;13/Mar/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
13/Mar/2026;15/Mar/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
14/Mar/2026;14/Mar/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
15/Mar/2026;16/Mar/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
16/Mar/2026;18/Mar/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
17/Mar/2026;17/Mar/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
18/Mar/2026;19/Mar/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
19/Mar/2026;21/Mar/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
20/Mar/2026;20/Mar/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
21/Mar/2026;22/Mar/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;1000;Arena Hall
22/Mar/2026;24/Mar/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
23/Mar/2026;23/Mar/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
24/Mar/2026;25/Mar/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
25/Mar/2026;27/Mar/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
26/Mar/2026;26/Mar/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
27/Mar/2026;28/Mar/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
28/Mar/2026;30/Mar/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
29/Mar/2026;29/Mar/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
30/Mar/2026;31/Mar/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
31/Mar/2026;02/Abr/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;1000;Arena Hall
01/Abr/2026;01/Abr/2026;Feira cultural;Avenida Afonso Pena, 1000, Centro, Belo Horizonte/MG;100;Praça Sete
02/Abr/2026;03/Abr/2026;Show musical;Rua da Bahia, 1500, Lourdes, Belo Horizonte/MG;200;Sesc Palladium
03/Abr/2026;05/Abr/2026;Evento gastronômico;Rua Espírito Santo, 900, Centro, Belo Horizonte/MG;300;Mercado Central
04/Abr/2026;04/Abr/2026;Exposição de arte;Avenida Álvares Cabral, 400, Centro, Belo Horizonte/MG;400;Palácio das Artes
05/Abr/2026;06/Abr/2026;Festival de rua;Rua dos Timbiras, 1200, Funcionários, Belo Horizonte/MG;500;Praça da Liberdade
06/Abr/2026;08/Abr/2026;Apresentação teatral;Rua Rio de Janeiro, 600, Centro, Belo Horizonte/MG;600;Teatro Francisco Nunes
07/Abr/2026;07/Abr/2026;Feira de livros;Avenida Brasil, 1300, Funcionários, Belo Horizonte/MG;700;Biblioteca Pública Estadual
08/Abr/2026;09/Abr/2026;Evento esportivo;Avenida Antônio Carlos, 3000, Pampulha, Belo Horizonte/MG;800;Mineirão
09/Abr/2026;11/Abr/2026;Festival gastronômico;Rua Sapucaí, 500, Floresta, Belo Horizonte/MG;900;Rua Sapucaí Mirante
10/Abr/2026;10/Abr/2026;Show ao vivo;Rua Pium-í, 800, Sion, Belo Horizonte/MG;1000;Arena Hall